product_id,sku,product_name,category,sub_category,brand,brand_tier,cost_price,selling_price,margin_pct,shelf_life_days,storage_type,promotion_sensitivity,price_elasticity,seasonality
P00025,SKU000025,EasyBuy Tissue,Household,Tissue,EasyBuy,Value,6.92,8.38,0.21,163,Ambient,0.18,-0.2,All
P00026,SKU000026,ValuePlus Shampoo,Personal Care,Shampoo,ValuePlus,Value,0.57,0.66,0.17,101,Frozen,0.36,-0.3,All
P00027,SKU000027,DailyMart Cold Brew,Coffee,Cold Brew,DailyMart,Mid,2.18,3.07,0.41,291,Ambient,0.26,-0.8,Summer
P00028,SKU000028,EasyBuy Shampoo,Personal Care,Shampoo,EasyBuy,Value,5.43,6.71,0.24,24,Ambient,0.98,-0.3,All
P00029,SKU000029,EasyBuy Popcorn,Snacks,Popcorn,EasyBuy,Value,6.46,7.92,0.23,286,Ambient,0.88,-1.5,All
P00030,SKU000030,FreshPeak Trail Mix,Snacks,Trail Mix,FreshPeak,Premium,0.83,1.41,0.7,160,Frozen,0.92,-1.5,All
P00031,SKU000031,FreshPeak Trail Mix,Snacks,Trail Mix,FreshPeak,Premium,3.71,6.28,0.69,101,Frozen,0.17,-1.5,All
P00032,SKU000032,EasyBuy Bagel,Bakery,Bagel,EasyBuy,Value,1.77,2.18,0.23,225,Refrigerated,0.94,-1.3,All
P00033,SKU000033,QuickChoice Shampoo,Personal Care,Shampoo,QuickChoice,Mid,3.19,4.27,0.34,275,Refrigerated,0.22,-0.3,All
P00034,SKU000034,QuickChoice Frozen Pizza,Frozen,Frozen Pizza,QuickChoice,Mid,6.57,9.34,0.42,15,Ambient,0.1,-0.7,All
P00035,SKU000035,UrbanBrew Chocolate,Candy,Chocolate,UrbanBrew,Premium,6.47,10.82,0.67,145,Ambient,0.18,-1.6,Winter
P00036,SKU000036,FreshPeak Milk,Dairy,Milk,FreshPeak,Premium,1.66,2.81,0.7,152,Ambient,0.13,-0.5,All
P00037,SKU000037,ValuePlus Gummies,Candy,Gummies,ValuePlus,Value,4.53,5.43,0.2,266,Refrigerated,0.29,-1.6,All
P00038,SKU000038,FreshPeak Muffin,Bakery,Muffin,FreshPeak,Premium,1.96,3.04,0.55,357,Ambient,0.75,-1.3,All
P00039,SKU000039,EasyBuy Espresso,Coffee,Espresso,EasyBuy,Value,6.46,7.69,0.19,94,Refrigerated,0.33,-0.8,All
P00040,SKU000040,StoreBasics Croissant,Bakery,Croissant,StoreBasics,Value,5.66,6.56,0.16,124,Ambient,0.33,-1.3,All
P00041,SKU000041,FreshPeak Frozen Pizza,Frozen,Frozen Pizza,FreshPeak,Premium,2.6,4.39,0.69,194,Ambient,0.65,-0.7,All
P00042,SKU000042,UrbanSelect Milk,Dairy,Milk,UrbanSelect,Mid,6.18,8.05,0.3,222,Ambient,0.14,-0.5,All
P00043,SKU000043,QuickChoice Chocolate,Candy,Chocolate,QuickChoice,Mid,6.23,8.85,0.42,102,Ambient,0.49,-1.6,Winter
P00044,SKU000044,DailyMart Yogurt,Dairy,Yogurt,DailyMart,Mid,7.15,9.57,0.34,252,Frozen,0.55,-0.5,All
P00045,SKU000045,UrbanSelect Toothpaste,Personal Care,Toothpaste,UrbanSelect,Mid,7.58,10.84,0.43,162,Frozen,0.62,-0.3,All
P00046,SKU000046,DailyMart Latte,Coffee,Latte,DailyMart,Mid,6.58,9.36,0.42,270,Ambient,0.97,-0.8,All
P00047,SKU000047,NatureGold Hot Coffee,Coffee,Hot Coffee,NatureGold,Premium,3.02,4.87,0.61,95,Refrigerated,0.12,-0.8,Winter
P00048,SKU000048,QuickChoice Latte,Coffee,Latte,QuickChoice,Mid,5.73,7.99,0.39,219,Refrigerated,0.35,-0.8,All
P00049,SKU000049,UrbanSelect Donut,Bakery,Donut,UrbanSelect,Mid,7.93,10.8,0.36,98,Ambient,0.94,-1.3,All
P00050,SKU000050,DailyMart Bagel,Bakery,Bagel,DailyMart,Mid,6.05,8.08,0.34,288,Frozen,0.55,-1.3,All
P00051,SKU000051,UrbanSelect Soap,Household,Soap,UrbanSelect,Mid,3.42,4.45,0.3,235,Refrigerated,0.42,-0.2,All
P00052,SKU000052,DailyMart Mint,Candy,Mint,DailyMart,Mid,1.19,1.65,0.39,55,Refrigerated,0.81,-1.6,All
P00053,SKU000053,ValuePlus Croissant,Bakery,Croissant,ValuePlus,Value,4.62,5.62,0.22,217,Ambient,0.74,-1.3,All
P00054,SKU000054,StoreBasics Soap,Household,Soap,StoreBasics,Value,1.26,1.46,0.16,143,Ambient,0.46,-0.2,All
P00055,SKU000055,QuickChoice Hot Coffee,Coffee,Hot Coffee,QuickChoice,Mid,7.9,10.71,0.36,323,Refrigerated,0.31,-0.8,Winter
P00056,SKU000056,QuickChoice Milk,Dairy,Milk,QuickChoice,Mid,5.81,7.97,0.37,184,Refrigerated,0.32,-0.5,All
P00057,SKU000057,DailyMart Nachos,Snacks,Nachos,DailyMart,Mid,0.59,0.81,0.37,60,Refrigerated,0.79,-1.5,All
P00058,SKU000058,StoreBasics Tissue,Household,Tissue,StoreBasics,Value,2.28,2.76,0.21,314,Ambient,0.49,-0.2,All
P00059,SKU000059,UrbanSelect Bagel,Bakery,Bagel,UrbanSelect,Mid,7.39,9.89,0.34,149,Frozen,0.57,-1.3,All
P00060,SKU000060,UrbanSelect Tissue,Household,Tissue,UrbanSelect,Mid,7.97,11.19,0.4,261,Frozen,0.14,-0.2,All
P00061,SKU000061,DailyMart Shampoo,Personal Care,Shampoo,DailyMart,Mid,2.58,3.43,0.33,92,Ambient,0.31,-0.3,All
P00062,SKU000062,UrbanSelect Donut,Bakery,Donut,UrbanSelect,Mid,5.74,7.92,0.38,214,Ambient,0.34,-1.3,All
P00063,SKU000063,EasyBuy Chips,Snacks,Chips,EasyBuy,Value,5.94,7.38,0.24,12,Frozen,0.88,-1.5,All
P00064,SKU000064,QuickChoice Muffin,Bakery,Muffin,QuickChoice,Mid,6.58,9.53,0.45,179,Ambient,0.77,-1.3,All
P00065,SKU000065,StoreBasics Soap,Household,Soap,StoreBasics,Value,6.79,8.29,0.22,101,Ambient,0.11,-0.2,All
P00066,SKU000066,DailyMart Yogurt,Dairy,Yogurt,DailyMart,Mid,8.0,11.6,0.45,25,Refrigerated,0.95,-0.5,All
P00067,SKU000067,DailyMart Chips,Snacks,Chips,DailyMart,Mid,1.47,2.12,0.44,207,Ambient,0.89,-1.5,All
P00068,SKU000068,NatureGold Shampoo,Personal Care,Shampoo,NatureGold,Premium,1.35,2.18,0.62,164,Ambient,0.85,-0.3,All
P00069,SKU000069,StoreBasics Espresso,Coffee,Espresso,StoreBasics,Value,1.16,1.47,0.27,114,Ambient,0.48,-0.8,All
P00070,SKU000070,UrbanSelect Donut,Bakery,Donut,UrbanSelect,Mid,2.1,2.77,0.32,254,Frozen,0.65,-1.3,All
P00071,SKU000071,UrbanSelect Cold Brew,Coffee,Cold Brew,UrbanSelect,Mid,7.28,9.84,0.35,168,Ambient,0.92,-0.8,Summer
P00072,SKU000072,StoreBasics Yogurt,Dairy,Yogurt,StoreBasics,Value,6.47,7.89,0.22,332,Refrigerated,0.16,-0.5,All
P00073,SKU000073,QuickChoice Croissant,Bakery,Croissant,QuickChoice,Mid,2.97,4.14,0.4,242,Ambient,0.58,-1.3,All
P00074,SKU000074,UrbanSelect Milk,Dairy,Milk,UrbanSelect,Mid,1.54,2.15,0.4,362,Ambient,0.47,-0.5,All
P00075,SKU000075,QuickChoice Nachos,Snacks,Nachos,QuickChoice,Mid,5.01,6.68,0.33,279,Ambient,0.35,-1.5,All
P00076,SKU000076,DailyMart Ice Cream,Frozen,Ice Cream,DailyMart,Mid,3.96,5.27,0.33,36,Ambient,0.4,-0.7,Summer
P00077,SKU000077,StoreBasics Soap,Household,Soap,StoreBasics,Value,5.66,6.94,0.23,109,Frozen,0.15,-0.2,All
P00078,SKU000078,NatureGold Chocolate,Candy,Chocolate,NatureGold,Premium,1.88,2.82,0.5,129,Frozen,0.31,-1.6,Winter
P00079,SKU000079,DailyMart Yogurt,Dairy,Yogurt,DailyMart,Mid,0.97,1.28,0.32,9,Ambient,0.86,-0.5,All
P00080,SKU000080,UrbanSelect Cold Brew,Coffee,Cold Brew,UrbanSelect,Mid,2.32,3.11,0.34,30,Ambient,0.39,-0.8,Summer
P00081,SKU000081,DailyMart Yogurt,Dairy,Yogurt,DailyMart,Mid,7.18,9.97,0.39,70,Ambient,0.68,-0.5,All
P00082,SKU000082,QuickChoice Latte,Coffee,Latte,QuickChoice,Mid,4.9,6.92,0.41,238,Ambient,0.36,-0.8,All
P00083,SKU000083,QuickChoice Frozen Pizza,Frozen,Frozen Pizza,QuickChoice,Mid,2.33,3.2,0.37,231,Frozen,0.11,-0.7,All
P00084,SKU000084,QuickChoice Croissant,Bakery,Croissant,QuickChoice,Mid,1.9,2.55,0.34,97,Ambient,0.86,-1.3,All
P00085,SKU000085,FreshPeak Nachos,Snacks,Nachos,FreshPeak,Premium,7.87,11.63,0.48,324,Ambient,0.93,-1.5,All
P00086,SKU000086,QuickChoice Frozen Pizza,Frozen,Frozen Pizza,QuickChoice,Mid,5.51,7.93,0.44,337,Ambient,0.53,-0.7,All
P00087,SKU000087,EasyBuy Croissant,Bakery,Croissant,EasyBuy,Value,2.0,2.52,0.26,142,Ambient,0.65,-1.3,All
P00088,SKU000088,UrbanSelect Ice Cream,Frozen,Ice Cream,UrbanSelect,Mid,4.11,5.67,0.38,163,Ambient,0.51,-0.7,Summer
P00089,SKU000089,QuickChoice Muffin,Bakery,Muffin,QuickChoice,Mid,2.92,4.15,0.42,323,Ambient,0.1,-1.3,All
P00090,SKU000090,QuickChoice Tissue,Household,Tissue,QuickChoice,Mid,3.59,4.85,0.35,307,Refrigerated,0.77,-0.2,All
P00091,SKU000091,EasyBuy Cold Brew,Coffee,Cold Brew,EasyBuy,Value,7.54,8.88,0.18,37,Frozen,0.75,-0.8,Summer
P00092,SKU000092,ValuePlus Toothpaste,Personal Care,Toothpaste,ValuePlus,Value,6.5,8.28,0.27,167,Refrigerated,0.7,-0.3,All
P00093,SKU000093,StoreBasics Chocolate,Candy,Chocolate,StoreBasics,Value,5.62,6.84,0.22,106,Ambient,0.52,-1.6,Winter
P00094,SKU000094,EasyBuy Ice Cream,Frozen,Ice Cream,EasyBuy,Value,4.83,5.81,0.2,311,Frozen,0.66,-0.7,Summer
P00095,SKU000095,EasyBuy Popcorn,Snacks,Popcorn,EasyBuy,Value,5.98,7.5,0.25,17,Refrigerated,0.55,-1.5,All
P00096,SKU000096,ValuePlus Milk,Dairy,Milk,ValuePlus,Value,6.14,7.71,0.26,291,Ambient,0.61,-0.5,All
P00097,SKU000097,ValuePlus Muffin,Bakery,Muffin,ValuePlus,Value,6.66,7.77,0.17,230,Ambient,0.64,-1.3,All
P00098,SKU000098,DailyMart Toothpaste,Personal Care,Toothpaste,DailyMart,Mid,5.9,8.24,0.4,245,Ambient,0.74,-0.3,All
P00099,SKU000099,UrbanBrew Bagel,Bakery,Bagel,UrbanBrew,Premium,3.07,4.63,0.51,25,Ambient,0.95,-1.3,All
P00100,SKU000100,FreshPeak Shampoo,Personal Care,Shampoo,FreshPeak,Premium,0.64,1.07,0.67,358,Frozen,0.81,-0.3,All
P00101,SKU000101,DailyMart Bagel,Bakery,Bagel,DailyMart,Mid,4.82,6.7,0.39,53,Refrigerated,0.94,-1.3,All
P00102,SKU000102,QuickChoice Ice Cream,Frozen,Ice Cream,QuickChoice,Mid,2.27,3.01,0.32,184,Refrigerated,0.4,-0.7,Summer
P00103,SKU000103,UrbanSelect Ice Cream,Frozen,Ice Cream,UrbanSelect,Mid,3.49,4.57,0.31,139,Ambient,0.81,-0.7,Summer
P00104,SKU000104,DailyMart Tissue,Household,Tissue,DailyMart,Mid,6.98,10.04,0.44,212,Ambient,0.93,-0.2,All
P00105,SKU000105,NatureGold Popcorn,Snacks,Popcorn,NatureGold,Premium,1.74,2.54,0.46,163,Ambient,0.62,-1.5,All
P00106,SKU000106,FreshPeak Frozen Pizza,Frozen,Frozen Pizza,FreshPeak,Premium,4.36,7.39,0.69,363,Ambient,0.47,-0.7,All
P00107,SKU000107,DailyMart Toothpaste,Personal Care,Toothpaste,DailyMart,Mid,3.48,4.75,0.36,213,Ambient,0.52,-0.3,All
P00108,SKU000108,UrbanSelect Soda,Beverages,Soda,UrbanSelect,Mid,0.99,1.4,0.42,177,Ambient,0.58,-1.2,All
P00109,SKU000109,UrbanSelect Water,Beverages,Water,UrbanSelect,Mid,1.66,2.2,0.33,57,Frozen,0.44,-1.2,All
P00110,SKU000110,DailyMart Popcorn,Snacks,Popcorn,DailyMart,Mid,0.69,0.91,0.32,180,Refrigerated,0.47,-1.5,All
P00111,SKU000111,UrbanSelect Tissue,Household,Tissue,UrbanSelect,Mid,5.54,7.22,0.3,56,Ambient,0.61,-0.2,All
P00112,SKU000112,QuickChoice Chips,Snacks,Chips,QuickChoice,Mid,6.54,9.47,0.45,290,Refrigerated,0.85,-1.5,All
P00113,SKU000113,DailyMart Bars,Candy,Bars,DailyMart,Mid,3.55,4.79,0.35,9,Ambient,0.76,-1.6,All
P00114,SKU000114,NatureGold Muffin,Bakery,Muffin,NatureGold,Premium,4.87,7.57,0.56,4,Frozen,0.66,-1.3,All
P00115,SKU000115,DailyMart Latte,Coffee,Latte,DailyMart,Mid,3.09,4.38,0.42,228,Refrigerated,0.3,-0.8,All
P00116,SKU000116,UrbanBrew Frozen Pizza,Frozen,Frozen Pizza,UrbanBrew,Premium,4.74,8.04,0.7,217,Refrigerated,0.48,-0.7,All
P00117,SKU000117,QuickChoice Chips,Snacks,Chips,QuickChoice,Mid,5.25,7.03,0.34,248,Ambient,0.48,-1.5,All
P00118,SKU000118,QuickChoice Latte,Coffee,Latte,QuickChoice,Mid,7.36,9.7,0.32,358,Ambient,0.16,-0.8,All
P00119,SKU000119,UrbanSelect Donut,Bakery,Donut,UrbanSelect,Mid,1.3,1.72,0.32,29,Frozen,0.89,-1.3,All
P00120,SKU000120,DailyMart Shampoo,Personal Care,Shampoo,DailyMart,Mid,4.21,5.84,0.39,192,Ambient,0.14,-0.3,All
P00121,SKU000121,FreshPeak Ice Cream,Frozen,Ice Cream,FreshPeak,Premium,5.02,7.59,0.51,151,Refrigerated,0.49,-0.7,Summer
P00122,SKU000122,EasyBuy Chocolate,Candy,Chocolate,EasyBuy,Value,7.62,9.22,0.21,154,Frozen,0.76,-1.6,Winter
P00123,SKU000123,NatureGold Water,Beverages,Water,NatureGold,Premium,4.96,7.26,0.46,203,Refrigerated,0.2,-1.2,All
P00124,SKU000124,StoreBasics Soap,Household,Soap,StoreBasics,Value,5.79,7.18,0.24,27,Ambient,0.84,-0.2,All
P00125,SKU000125,QuickChoice Bagel,Bakery,Bagel,QuickChoice,Mid,0.54,0.71,0.32,103,Ambient,0.93,-1.3,All
P00126,SKU000126,DailyMart Water,Beverages,Water,DailyMart,Mid,1.89,2.61,0.38,218,Refrigerated,0.68,-1.2,All
P00127,SKU000127,ValuePlus Juice,Beverages,Juice,ValuePlus,Value,7.85,10.09,0.29,270,Ambient,0.99,-1.2,All
P00128,SKU000128,FreshPeak Milk,Dairy,Milk,FreshPeak,Premium,4.05,6.19,0.53,337,Ambient,0.37,-0.5,All
P00129,SKU000129,DailyMart Shampoo,Personal Care,Shampoo,DailyMart,Mid,4.06,5.8,0.43,105,Ambient,0.64,-0.3,All
P00130,SKU000130,UrbanBrew Trail Mix,Snacks,Trail Mix,UrbanBrew,Premium,7.14,11.3,0.58,185,Ambient,0.62,-1.5,All
P00131,SKU000131,QuickChoice Toothpaste,Personal Care,Toothpaste,QuickChoice,Mid,2.89,4.03,0.39,18,Ambient,0.89,-0.3,All
P00132,SKU000132,QuickChoice Latte,Coffee,Latte,QuickChoice,Mid,0.66,0.94,0.43,143,Ambient,0.94,-0.8,All
P00133,SKU000133,QuickChoice Yogurt,Dairy,Yogurt,QuickChoice,Mid,1.16,1.51,0.31,238,Ambient,0.89,-0.5,All
P00134,SKU000134,NatureGold Soap,Household,Soap,NatureGold,Premium,3.66,5.98,0.63,179,Ambient,0.42,-0.2,All
P00135,SKU000135,StoreBasics Espresso,Coffee,Espresso,StoreBasics,Value,0.82,0.95,0.15,75,Ambient,0.45,-0.8,All
P00136,SKU000136,StoreBasics Bars,Candy,Bars,StoreBasics,Value,6.4,7.45,0.16,200,Frozen,0.9,-1.6,All
P00137,SKU000137,ValuePlus Toothpaste,Personal Care,Toothpaste,ValuePlus,Value,1.75,2.27,0.3,61,Ambient,0.85,-0.3,All
P00138,SKU000138,ValuePlus Ice Cream,Frozen,Ice Cream,ValuePlus,Value,2.23,2.62,0.18,220,Ambient,0.96,-0.7,Summer
P00139,SKU000139,ValuePlus Shampoo,Personal Care,Shampoo,ValuePlus,Value,7.77,9.97,0.28,101,Ambient,0.57,-0.3,All
P00140,SKU000140,DailyMart Popcorn,Snacks,Popcorn,DailyMart,Mid,1.65,2.35,0.42,271,Ambient,0.58,-1.5,All
P00141,SKU000141,QuickChoice Soap,Household,Soap,QuickChoice,Mid,3.93,5.34,0.36,125,Ambient,0.9,-0.2,All
P00142,SKU000142,StoreBasics Soap,Household,Soap,StoreBasics,Value,2.97,3.83,0.29,228,Ambient,0.44,-0.2,All
P00143,SKU000143,ValuePlus Toothpaste,Personal Care,Toothpaste,ValuePlus,Value,4.49,5.81,0.29,178,Ambient,0.17,-0.3,All
P00144,SKU000144,QuickChoice Water,Beverages,Water,QuickChoice,Mid,4.94,7.03,0.42,58,Ambient,0.59,-1.2,All
P00145,SKU000145,DailyMart Water,Beverages,Water,DailyMart,Mid,1.68,2.22,0.32,271,Refrigerated,0.73,-1.2,All
P00146,SKU000146,UrbanSelect Mint,Candy,Mint,UrbanSelect,Mid,7.11,10.27,0.44,251,Ambient,0.84,-1.6,All
P00147,SKU000147,ValuePlus Croissant,Bakery,Croissant,ValuePlus,Value,6.63,8.45,0.27,14,Ambient,0.36,-1.3,All
P00148,SKU000148,UrbanSelect Soda,Beverages,Soda,UrbanSelect,Mid,3.33,4.33,0.3,165,Ambient,0.36,-1.2,All
P00149,SKU000149,QuickChoice Yogurt,Dairy,Yogurt,QuickChoice,Mid,3.06,4.27,0.39,224,Refrigerated,0.81,-0.5,All
P00150,SKU000150,EasyBuy Bars,Candy,Bars,EasyBuy,Value,1.75,2.21,0.27,195,Ambient,0.17,-1.6,All
P00151,SKU000151,EasyBuy Cold Brew,Coffee,Cold Brew,EasyBuy,Value,7.77,9.81,0.26,229,Ambient,0.45,-0.8,Summer
P00152,SKU000152,UrbanSelect Water,Beverages,Water,UrbanSelect,Mid,2.39,3.11,0.3,228,Frozen,0.48,-1.2,All
P00153,SKU000153,DailyMart Tissue,Household,Tissue,DailyMart,Mid,5.7,7.6,0.33,132,Refrigerated,0.31,-0.2,All
P00154,SKU000154,StoreBasics Chips,Snacks,Chips,StoreBasics,Value,7.58,9.19,0.21,86,Ambient,0.35,-1.5,All
P00155,SKU000155,QuickChoice Nachos,Snacks,Nachos,QuickChoice,Mid,2.22,2.96,0.33,322,Refrigerated,0.74,-1.5,All
P00156,SKU000156,UrbanSelect Latte,Coffee,Latte,UrbanSelect,Mid,7.76,10.3,0.33,147,Ambient,0.24,-0.8,All
P00157,SKU000157,FreshPeak Espresso,Coffee,Espresso,FreshPeak,Premium,1.48,2.16,0.46,318,Frozen,0.27,-0.8,All
P00158,SKU000158,FreshPeak Soap,Household,Soap,FreshPeak,Premium,5.05,7.64,0.51,11,Ambient,0.54,-0.2,All
P00159,SKU000159,QuickChoice Frozen Pizza,Frozen,Frozen Pizza,QuickChoice,Mid,6.48,8.73,0.35,207,Ambient,0.52,-0.7,All
P00160,SKU000160,ValuePlus Cold Brew,Coffee,Cold Brew,ValuePlus,Value,2.69,3.37,0.25,291,Frozen,0.92,-0.8,Summer
P00161,SKU000161,FreshPeak Ice Cream,Frozen,Ice Cream,FreshPeak,Premium,1.27,2.02,0.59,82,Ambient,0.29,-0.7,Summer
P00162,SKU000162,ValuePlus Water,Beverages,Water,ValuePlus,Value,2.95,3.62,0.23,291,Refrigerated,0.17,-1.2,All
P00163,SKU000163,QuickChoice Gummies,Candy,Gummies,QuickChoice,Mid,7.83,10.41,0.33,124,Refrigerated,0.28,-1.6,All
P00164,SKU000164,NatureGold Yogurt,Dairy,Yogurt,NatureGold,Premium,1.43,2.39,0.67,11,Frozen,0.15,-0.5,All
P00165,SKU000165,ValuePlus Soap,Household,Soap,ValuePlus,Value,5.19,6.58,0.27,113,Refrigerated,0.17,-0.2,All
P00166,SKU000166,QuickChoice Bars,Candy,Bars,QuickChoice,Mid,6.38,8.75,0.37,129,Ambient,0.76,-1.6,All
P00167,SKU000167,DailyMart Cold Brew,Coffee,Cold Brew,DailyMart,Mid,4.09,5.69,0.39,149,Frozen,0.4,-0.8,Summer
P00168,SKU000168,EasyBuy Toothpaste,Personal Care,Toothpaste,EasyBuy,Value,0.83,0.97,0.17,213,Ambient,1.0,-0.3,All
P00169,SKU000169,QuickChoice Tissue,Household,Tissue,QuickChoice,Mid,3.52,4.69,0.33,209,Ambient,0.52,-0.2,All
P00170,SKU000170,DailyMart Muffin,Bakery,Muffin,DailyMart,Mid,3.09,4.19,0.36,22,Ambient,0.59,-1.3,All
P00171,SKU000171,QuickChoice Trail Mix,Snacks,Trail Mix,QuickChoice,Mid,5.94,8.16,0.37,68,Ambient,0.81,-1.5,All
P00172,SKU000172,ValuePlus Yogurt,Dairy,Yogurt,ValuePlus,Value,7.34,8.67,0.18,239,Ambient,0.85,-0.5,All
P00173,SKU000173,ValuePlus Juice,Beverages,Juice,ValuePlus,Value,1.85,2.19,0.19,336,Ambient,0.47,-1.2,All
P00174,SKU000174,QuickChoice Ice Cream,Frozen,Ice Cream,QuickChoice,Mid,7.03,9.61,0.37,233,Ambient,0.63,-0.7,Summer
P00175,SKU000175,DailyMart Ice Cream,Frozen,Ice Cream,DailyMart,Mid,3.49,4.99,0.43,263,Ambient,0.8,-0.7,Summer
P00176,SKU000176,EasyBuy Shampoo,Personal Care,Shampoo,EasyBuy,Value,2.26,2.9,0.28,120,Ambient,0.57,-0.3,All
P00177,SKU000177,UrbanSelect Tissue,Household,Tissue,UrbanSelect,Mid,7.61,10.18,0.34,286,Ambient,0.76,-0.2,All
P00178,SKU000178,DailyMart Bagel,Bakery,Bagel,DailyMart,Mid,5.79,7.91,0.37,209,Ambient,0.59,-1.3,All
P00179,SKU000179,StoreBasics Gummies,Candy,Gummies,StoreBasics,Value,4.48,5.78,0.29,287,Ambient,0.3,-1.6,All
P00180,SKU000180,FreshPeak Donut,Bakery,Donut,FreshPeak,Premium,4.3,6.28,0.46,278,Frozen,0.97,-1.3,All
P00181,SKU000181,DailyMart Hot Coffee,Coffee,Hot Coffee,DailyMart,Mid,4.85,6.49,0.34,180,Ambient,0.58,-0.8,Winter
P00182,SKU000182,UrbanBrew Yogurt,Dairy,Yogurt,UrbanBrew,Premium,2.01,3.25,0.62,343,Ambient,0.71,-0.5,All
P00183,SKU000183,EasyBuy Ice Cream,Frozen,Ice Cream,EasyBuy,Value,5.69,7.26,0.28,220,Ambient,0.12,-0.7,Summer
P00184,SKU000184,EasyBuy Hot Coffee,Coffee,Hot Coffee,EasyBuy,Value,4.78,5.52,0.15,330,Refrigerated,0.93,-0.8,Winter
P00185,SKU000185,ValuePlus Juice,Beverages,Juice,ValuePlus,Value,3.45,4.3,0.25,92,Ambient,0.24,-1.2,All
P00186,SKU000186,StoreBasics Ice Cream,Frozen,Ice Cream,StoreBasics,Value,7.95,10.04,0.26,247,Ambient,0.76,-0.7,Summer
P00187,SKU000187,QuickChoice Gummies,Candy,Gummies,QuickChoice,Mid,7.44,10.16,0.37,84,Refrigerated,0.39,-1.6,All
P00188,SKU000188,UrbanSelect Energy Drink,Beverages,Energy Drink,UrbanSelect,Mid,0.54,0.73,0.35,78,Ambient,0.61,-1.2,All
